Group,Shapes,Mean,SE
SP,Circle,0.201917329301587,0.0871998460258628
SP,Lines,0.187407407555556,0.018925169807956
SP,Ellipses,0.353750006217593,0.0574980639800875
SP,Spiral,0.106829805087302,0.0321233802465301
SP,Blobs,0.271726374937373,0.0354566486496383
SP,Squiggles,0.19273148875,0.0973611183333334
SP,Letters,0.186394194722222,0.0663154094976909
NT,Circle,0.269359768999429,0.0143641708059912
NT,Lines,0.31435350452381,0.05406927774394
NT,Ellipses,0.380937250537037,0.0190554424379608
NT,Spiral,0.21575444719709,0.0578448092061734
NT,Blobs,0.30704200676207,0.0285092015267727
NT,Squiggles,0.19531225896647,0.109769100144862
NT,Letters,0.241746895869728,0.0589273713128749
